採樣分區,河川,縣市,測站名稱,水體分類等級,採樣日期,採樣日期_clean, 差異天數 ,採樣年,採樣月,採樣日,測站編號,經度(TWD97),緯度(TWD97),上下游_新竹,河川污染指數,氣溫,水溫,酸鹼值,導電度,溶氧(滴定法),溶氧(電極法),溶氧飽和度,生化需氧量,化學需氧量,懸浮固體,大腸桿菌群,氨氮,氯鹽,總磷,總有機碳,硝酸鹽氮,亞硝酸鹽氮,鎘,鉛,六價鉻,砷,汞,銅,鋅,錳,銀,硒,濁度,鉻,總氮,總凱氏氮,備註
客雅溪流域,客雅溪,新竹市,香雅橋,－,2016/7/4 下午 02:25:00,2016/7/4, 33 ,2016,7,4,1090,120.925357,24.803228,,4.3,34,33.5,7.4,2940,,6.5,91.2,3.9,31.7,30.5,62000,20,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,三灣大橋,乙,2013/8/5 上午 10:50:00,2013/8/5, 33 ,2013,8,5,1092,120.959113,24.661898,,1.5,30.1,28.2,8.4,299,,8.8,114.3,1,4,24.2,8600,0.04,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,三灣大橋,乙,2015/5/11 下午 01:30:00,2015/5/11, 33 ,2015,5,11,1092,120.959113,24.661898,,1,28.3,26.9,8.5,368,,10.7,135.3,1.7,4,5.4,150,0.1,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,三灣大橋,乙,2015/10/5 下午 02:00:00,2015/10/5, 33 ,2015,10,5,1092,120.959113,24.661898,,1,31.8,29.4,8.3,276,,8,104.8,1,4,5.4,5200,0.03,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,平安大橋,乙,2013/8/5 下午 12:55:00,2013/8/5, 33 ,2013,8,5,1093,120.949213,24.675887,,1,30.8,30.5,8.2,313,,8.4,112.9,1.2,4.2,9.3,650,0.02,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,平安大橋,乙,2015/5/11 下午 02:30:00,2015/5/11, 33 ,2015,5,11,1093,120.949213,24.675887,,1,28.8,28.2,8.3,381,,10.2,132.2,2.1,4.8,8.1,190,0.11,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,平安大橋,乙,2015/10/5 下午 03:00:00,2015/10/5, 33 ,2015,10,5,1093,120.949213,24.675887,,1,33.4,29,8.3,287,,8.2,107.6,1,4,7.8,1000,0.03,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2013/8/5 下午 01:55:00,2013/8/5, 33 ,2013,8,5,1094,120.907907,24.680552,,1,33.1,32.1,8.4,322,,8.8,121.7,1.2,4.2,5.2,130,0.07,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2015/5/11 下午 03:30:00,2015/5/11, 33 ,2015,5,11,1094,120.907907,24.680552,,1,28.7,28.1,8.1,402,,8,103.3,1.9,5.8,9.8,5000,0.17,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,東興大橋,丙,2015/10/5 下午 04:00:00,2015/10/5, 33 ,2015,10,5,1094,120.907907,24.680552,,1,33.5,30.1,8.3,300,,8.4,111.2,1,4,7,750,0.05,,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2013/8/5 下午 03:10:00,2013/8/5, 33 ,2013,8,5,1095,120.8817,24.666946,,2.8,31.7,32.4,8.5,620,,8.3,114.9,3.6,15.6,17.7,1500,2.18,44.9,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2015/5/11 上午 10:10:00,2015/5/11, 33 ,2015,5,11,1095,120.8817,24.666946,,8.3,24.2,27.7,7.5,5290,,0.6,7.4,95.3,150,45,71000,35.7,1210,,,,,,,,,,,,,,,,,,,
中港溪流域,中港溪,苗栗縣,尖山大橋(取代中港溪橋),丁,2015/10/5 上午 10:16:00,2015/10/5, 33 ,2015,10,5,1095,120.8817,24.666946,,1,28.4,29.2,8,343,,7.8,101,1,4,18.5,7700,0.28,4.6,,,,,,,,,,,,,,,,,,,
中港溪流域,南港溪(苗),苗栗縣,南港溪橋,丁,2013/8/5 下午 04:00:00,2013/8/5, 33 ,2013,8,5,1096,120.867851,24.655899,,2.8,33,33.6,8.2,6110,,11.3,161.8,9.6,36.1,43.8,4300000,0.21,1740,,,,,,,,,,,,,,,,,,,
中港溪流域,南港溪(苗),苗栗縣,南港溪橋,丁,2015/5/11 上午 10:13:00,2015/5/11, 33 ,2015,5,11,1096,120.867851,24.655899,,8.3,27.6,27.1,7.6,8640,,0,0.4,90.7,155,25.8,2500000,13.5,2680,,,,,,,,,,,,,,,,,,,
中港溪流域,南港溪(苗),苗栗縣,南港溪橋,丁,2015/10/5 上午 10:16:00,2015/10/5, 33 ,2015,10,5,1096,120.867851,24.655899,,5.8,28,29.2,7.6,550,,0.4,5.7,8,24.8,17.5,2000000,1.54,39.8,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2013/8/5 下午 01:00:00,2013/8/5, 33 ,2013,8,5,1097,120.815917,24.53644,,1,31.6,30.7,8.7,355,,9.4,127.1,1.2,5.2,12.8,1900,0.04,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2014/4/7 上午 11:40:00,2014/4/7, 33 ,2014,4,7,1097,120.815917,24.53644,,1,22.3,20.6,8.3,486,,9.1,101.4,1.8,7.7,8.4,9200,0.18,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2014/9/3 下午 01:00:00,2014/9/3, 33 ,2014,9,3,1097,120.815917,24.53644,,1,32.4,31.4,8.9,401,,11.4,156.8,1.7,6.8,4.7,1800,0.08,,0.02,,0.51,,0.001,0.003,0.002,0.0003,0.0003,0.004,0.013,0.015,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2014/11/4 上午 10:00:00,2014/11/4, 33 ,2014,11,4,1097,120.815917,24.53644,,1,23.6,21.1,8.2,551,,7.6,86,1.3,5.4,4.2,25,0.04,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2015/8/5 上午 10:20:00,2015/8/5, 33 ,2015,8,5,1097,120.815917,24.53644,,1,29.4,29.2,8.5,472,,10.4,137.8,1.4,4,4.2,2300,0.11,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,龜山橋,乙,2016/9/6 上午 09:41:00,2016/9/6, 33 ,2016,9,6,1097,120.815917,24.53644,,1.5,26.5,27.2,8.1,395,,7.4,94.1,2.3,10.3,23.7,22000,0.08,,0.161,,1.05,,0.001,0.003,0.002,0.0003,0.0003,0.004,0.015,0.033,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2013/8/5 下午 02:00:00,2013/8/5, 33 ,2013,8,5,1098,120.845794,24.574652,,1,31.5,32.2,8.9,344,,11.3,157,1.3,5.2,5.4,140,0.02,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2014/4/7 下午 01:25:00,2014/4/7, 33 ,2014,4,7,1098,120.845794,24.574652,,1,23.2,20.9,8.2,477,,9.3,104.3,2.8,8.2,9.1,25000,0.1,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2014/9/3 下午 02:01:00,2014/9/3, 33 ,2014,9,3,1098,120.845794,24.574652,,1,32.5,31.9,8.8,428,,10.6,145.8,2.4,9.3,5.2,300,0.07,,0.002,,0.79,,0.001,0.003,0.002,0.0005,0.0003,0.003,0.012,0.022,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2014/11/4 上午 11:02:00,2014/11/4, 33 ,2014,11,4,1098,120.845794,24.574652,,1,24.6,23.7,8.3,531,,10.4,123.5,1,4,3.7,630,0.03,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2015/8/5 上午 11:30:00,2015/8/5, 33 ,2015,8,5,1098,120.845794,24.574652,,1,29.6,30,8.5,489,,11.1,149,1,4,5.1,800,0.07,,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,頭屋大橋,乙,2016/9/6 上午 10:45:00,2016/9/6, 33 ,2016,9,6,1098,120.845794,24.574652,,1,27.2,27.8,8.1,403,,7.7,98.9,1.8,7.9,16.8,4500,0.05,,0.162,,1.1,,0.001,0.003,0.002,0.0004,0.0003,0.007,0.013,0.037,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2013/8/5 下午 03:10:00,2013/8/5, 33 ,2013,8,5,1099,120.825563,24.594897,,1,31.1,31.8,8.7,373,,9.7,133.4,1.4,5.2,6.4,160,0.07,5.5,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2014/4/7 上午 09:30:00,2014/4/7, 33 ,2014,4,7,1099,120.825563,24.594897,,1.5,22,21.4,8.1,478,,8.5,96.3,3.4,10.2,7.3,4300,0.16,11,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2014/9/3 上午 09:52:00,2014/9/3, 33 ,2014,9,3,1099,120.825563,24.594897,,1.5,33.4,31.5,8.3,436,,9.9,135.8,3.4,7.8,8.2,250,0.09,10.6,0.021,,0.67,,0.001,0.003,0.002,0.0007,0.0003,0.001,0.012,0.046,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2014/11/4 下午 02:06:00,2014/11/4, 33 ,2014,11,4,1099,120.825563,24.594897,,1.5,24.5,24.2,8.3,555,,12.4,148.2,2.5,11.4,5.2,7700,0.84,20.7,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2015/8/5 上午 08:01:00,2015/8/5, 33 ,2015,8,5,1099,120.825563,24.594897,,1,28.5,29.7,8.1,498,,8.2,109.4,1,4,5.6,1300,0.14,12.3,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,北勢大橋,乙,2016/9/6 上午 07:02:00,2016/9/6, 33 ,2016,9,6,1099,120.825563,24.594897,,1.5,26.2,28.3,8,433,,6.4,82.2,1.9,8.4,11.7,4700,0.12,9.4,0.169,,1.15,,0.001,0.003,0.002,0.0005,0.0003,0.003,0.01,0.036,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2013/8/5 下午 04:10:00,2013/8/5, 33 ,2013,8,5,1100,120.784298,24.608744,,1.5,30.7,31.8,8.3,1380,,7.4,101.2,2.7,12.8,22,320,0.21,267,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2014/4/7 上午 10:30:00,2014/4/7, 33 ,2014,4,7,1100,120.784298,24.608744,,5,21.8,21.5,7.7,14400,,1.8,19.8,9.9,26.7,8.4,4100,0.62,4720,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2014/9/3 上午 10:51:00,2014/9/3, 33 ,2014,9,3,1100,120.784298,24.608744,,4.5,31,31.4,7.9,13200,,2.7,37.8,20.1,48,15.2,25000,0.18,4160,0.518,,0.01,,0.001,0.003,0.002,0.0011,0.0003,0.004,0.002,0.005,0.001,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2014/11/4 下午 03:02:00,2014/11/4, 33 ,2014,11,4,1100,120.784298,24.608744,,5,23.5,22.6,7.9,30900,,3.9,51.7,19.9,44.8,25.1,2100,0.27,12400,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2015/8/5 上午 09:00:00,2015/8/5, 33 ,2015,8,5,1100,120.784298,24.608744,,3.3,29.8,31.5,7.9,27500,,4.6,72.8,5.2,21.6,25.4,2000,0.12,9240,,,,,,,,,,,,,,,,,,,
後龍溪流域,後龍溪,苗栗縣,後龍溪橋,丙,2016/9/6 上午 08:01:00,2016/9/6, 33 ,2016,9,6,1100,120.784298,24.608744,,2.3,26.8,29.2,7.8,17700,,3.6,54.9,2.9,13.6,14.4,17000,0.24,6190,0.264,,0.81,,0.001,0.003,0.002,0.0005,0.0003,0.004,0.035,0.08,0.001,,,,,,
西湖溪流域,西湖溪,苗栗縣,竹森大橋(原名銅鑼橋),乙,2013/4/8 上午 09:41:00,2013/4/8, 33 ,2013,4,8,1101,120.780599,24.494193,,1,19.2,19.4,7.7,179,,9.7,106.8,1,4,2.9,2600,0.04,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,竹森大橋(原名銅鑼橋),乙,2013/8/5 上午 10:08:00,2013/8/5, 33 ,2013,8,5,1101,120.780599,24.494193,,1,30.6,29.4,8.1,171,,8.4,111.3,1,4,2.6,90,0.02,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,竹森大橋(原名銅鑼橋),乙,2015/5/11 下午 01:31:00,2015/5/11, 33 ,2015,5,11,1101,120.780599,24.494193,,1,27.7,25.4,7.3,172,,7.3,90.8,1,5.2,1,2200,0.03,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,竹森大橋(原名銅鑼橋),乙,2015/10/5 下午 02:00:00,2015/10/5, 33 ,2015,10,5,1101,120.780599,24.494193,,1,29.2,29.1,7.7,176,,8.1,106.5,1,4.3,1.9,9400,0.09,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,龍壽橋,乙,2013/4/8 上午 10:37:00,2013/4/8, 33 ,2013,4,8,1102,120.747872,24.533339,,1,20.2,19.8,8.2,228,,9,107.4,1,4.4,3.3,4300,0.02,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,龍壽橋,乙,2013/8/5 下午 01:34:00,2013/8/5, 33 ,2013,8,5,1102,120.747872,24.533339,,1,31.4,33.9,8.8,243,,8.4,119.9,1.4,6.9,3.5,10,0.04,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,龍壽橋,乙,2015/5/11 下午 02:32:00,2015/5/11, 33 ,2015,5,11,1102,120.747872,24.533339,,1,29.3,28.6,8.6,295,,9.1,118,1,5.8,4.5,1300,0.03,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,龍壽橋,乙,2015/10/5 下午 03:00:00,2015/10/5, 33 ,2015,10,5,1102,120.747872,24.533339,,1,28.2,29.6,8.5,228,,8.4,111,1,6.8,2.6,350,0.12,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,西湖橋(原名四湖橋),乙,2013/4/8 上午 11:36:00,2013/4/8, 33 ,2013,4,8,1103,120.752601,24.563268,,1,21.7,20.6,8.1,281,,9.8,109.4,1.7,7.4,13.5,3300,0.1,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,西湖橋(原名四湖橋),乙,2013/8/5 下午 02:38:00,2013/8/5, 33 ,2013,8,5,1103,120.752601,24.563268,,1,32.1,34.8,8.8,265,,7.6,109.1,2.1,9.9,4.9,2600,0.03,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,西湖橋(原名四湖橋),乙,2015/5/11 下午 03:31:00,2015/5/11, 33 ,2015,5,11,1103,120.752601,24.563268,,1,31.7,28.8,8.4,399,,9.7,126.1,1.1,6.8,9.7,1400,0.04,,,,,,,,,,,,,,,,,,,,
西湖溪流域,西湖溪,苗栗縣,西湖橋(原名四湖橋),乙,2015/10/5 下午 04:00:00,2015/10/5, 33 ,2015,10,5,1103,120.752601,24.563268,,1,30.2,30.1,8.7,271,,8.8,116.9,1,5.3,3.6,1300,0.05,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2014/11/5 上午 10:04:00,2014/11/5, 33 ,2014,11,5,1104,120.908024,24.293761,,1,25.3,21.9,8.5,447,,8.4,101.4,1,4,12.5,10,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2015/8/4 上午 10:08:00,2015/8/4, 33 ,2015,8,4,1104,120.908024,24.293761,,1,29.6,25.7,8.4,446,,8,104.4,1,4,5.4,150,0.08,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2015/11/3 上午 10:02:00,2015/11/3, 33 ,2015,11,3,1104,120.908024,24.293761,,1,23.6,22.6,8.5,403,,8.6,105.5,1,4,5.5,95,0.03,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2016/7/6 上午 08:30:00,2016/7/6, 33 ,2016,7,6,1104,120.908024,24.293761,,1,26.9,24.6,8.5,410,,8.4,107.6,1.4,4,3.6,890,0.05,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2016/9/6 上午 09:40:00,2016/9/6, 33 ,2016,9,6,1104,120.908024,24.293761,,1,26.4,23.8,8.4,415,,8.2,102.9,1,4,2.2,600,0.01,,0.026,,0.37,,0.001,0.003,0.002,0.0003,0.0003,0.001,0.008,0.007,0.001,,,,,,
大安溪流域,大安溪,苗栗縣,白布帆大橋,甲,2016/12/6 上午 10:30:00,2016/12/6, 33 ,2016,12,6,1104,120.908024,24.293761,,1,21.3,19.1,8.4,416,,8.8,100.8,1,4,4,150,0.03,,0.026,,0.19,,0.001,0.003,0.002,0.0003,0.0003,0.001,0.007,0.01,0.001,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2014/11/5 上午 11:10:00,2014/11/5, 33 ,2014,11,5,1105,120.818393,24.308386,,1,25.7,23,8.6,446,,8.9,107.3,1,4,5.7,120,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2015/8/4 上午 11:19:00,2015/8/4, 33 ,2015,8,4,1105,120.818393,24.308386,,1,30.6,27.4,8.4,479,,8,105.8,1,4,3.4,300,0.04,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2015/11/3 上午 11:07:00,2015/11/3, 33 ,2015,11,3,1105,120.818393,24.308386,,1,23.3,24.3,8.5,431,,9,111.6,1,4.3,6,620,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2016/7/6 上午 09:30:00,2016/7/6, 33 ,2016,7,6,1105,120.818393,24.308386,,1,27.1,26,8.6,424,,8.4,108.4,1,4.1,9.4,2500,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2016/9/6 下午 01:30:00,2016/9/6, 33 ,2016,9,6,1105,120.818393,24.308386,,1.5,29,26.7,8.6,426,,8.2,106.8,1,4,21.3,35000,0.01,,0.057,,0.4,,0.001,0.003,0.002,0.0003,0.0003,0.001,0.012,0.018,0.001,,,,,,
大安溪流域,大安溪,苗栗縣,卓蘭大橋(原名為蘭勢橋),甲,2016/12/6 下午 02:20:00,2016/12/6, 33 ,2016,12,6,1105,120.818393,24.308386,,1.5,21.9,20.3,8.5,444,,8.9,101.8,1.2,5,36.3,7200,0.02,,0.089,,0.28,,0.001,0.003,0.002,0.0003,0.0003,0.003,0.017,0.025,0.001,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2014/11/5 下午 01:40:00,2014/11/5, 33 ,2014,11,5,1106,120.736541,24.356994,,1,28.1,26.5,8.5,453,,8.5,108,1,4,5.2,25,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2015/8/4 上午 09:43:00,2015/8/4, 33 ,2015,8,4,1106,120.736541,24.356994,,1,30.4,27.8,8.4,509,,8.3,108,1,4,2.8,250,0.05,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2015/11/3 上午 11:28:00,2015/11/3, 33 ,2015,11,3,1106,120.736541,24.356994,,1,28.4,25.3,8.4,472,,8.4,104.1,1,4,5.3,90,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2016/7/6 下午 01:30:00,2016/7/6, 33 ,2016,7,6,1106,120.736541,24.356994,,1,30,30.8,8.6,428,,7.7,106.8,1,4,13,460,0.04,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2016/9/6 下午 02:50:00,2016/9/6, 33 ,2016,9,6,1106,120.736541,24.356994,,2.3,28.4,27.1,8.3,415,,7.7,99.7,2.1,9.4,90.5,58000,0.05,,0.314,,1.27,,0.001,0.006,0.002,0.0003,0.0003,0.004,0.023,0.061,0.001,,,,,,
大安溪流域,大安溪,苗栗縣,義里大橋,甲,2016/12/6 下午 03:30:00,2016/12/6, 33 ,2016,12,6,1106,120.736541,24.356994,,1,21.3,19.3,8.4,488,,9.3,102.8,1,4,15.4,130,0.03,,0.047,,1.69,,0.001,0.003,0.002,0.0003,0.0003,0.002,0.009,0.009,0.001,,,,,,
大安溪流域,大安溪,台中市,大安溪橋,乙,2014/11/5 下午 02:40:00,2014/11/5, 33 ,2014,11,5,1107,120.644916,24.370575,,1.5,28.2,26.8,8.5,561,,9.1,113.2,1,4.2,45.1,700,0.02,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,大安溪橋,乙,2015/8/4 上午 10:53:00,2015/8/4, 33 ,2015,8,4,1107,120.644916,24.370575,,1,31.8,30.2,8.5,577,,9.5,127.7,1.4,5,10.6,500,0.03,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,大安溪橋,乙,2015/11/3 下午 01:31:00,2015/11/3, 33 ,2015,11,3,1107,120.644916,24.370575,,1,28.1,27.1,8.4,580,,8.9,113.2,1,4,14.1,2700,0.01,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,大安溪橋,乙,2016/7/6 下午 02:30:00,2016/7/6, 33 ,2016,7,6,1107,120.644916,24.370575,,1,31.3,32.3,8.8,421,,8,111,1.2,5.6,8.1,3600,0.05,,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,大安溪橋,乙,2016/9/6 下午 04:00:00,2016/9/6, 33 ,2016,9,6,1107,120.644916,24.370575,,3.3,25.2,27.5,8.2,428,,7.5,96.8,1.4,33,265,68000,0.13,,0.896,,2.05,,0.001,0.019,0.002,0.0007,0.0003,0.01,0.048,0.199,0.001,,,,,,
大安溪流域,大安溪,臺中市,大安溪橋,乙,2016/12/6 下午 04:30:00,2016/12/6, 33 ,2016,12,6,1107,120.644916,24.370575,,1,20.8,19.4,8.5,621,,9.3,102,1.6,6,17.8,3600,0.03,,0.096,,1.24,,0.001,0.003,0.002,0.0003,0.0003,0.002,0.014,0.02,0.001,,,,,,
大安溪流域,大安溪,台中市,西濱快速道路(取代大安溪出海口),丙,2014/11/5 下午 03:47:00,2014/11/5, 33 ,2014,11,5,1108,120.6105972,24.4014167,,1,27.8,25,8.2,659,,11.2,136.3,1,4,7.2,170,0.01,8.3,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,西濱快速道路(取代大安溪出海口),丙,2015/8/4 上午 07:48:00,2015/8/4, 33 ,2015,8,4,1108,120.6105972,24.4014167,,1.5,28.8,28.1,8.1,697,,7.7,98.6,1.8,6.5,25.3,3100,0.05,9.6,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,西濱快速道路(取代大安溪出海口),丙,2015/11/3 上午 09:47:00,2015/11/3, 33 ,2015,11,3,1108,120.6105972,24.4014167,,1,28,24.5,8.3,613,,9.2,110.6,1,5,3.8,110,0.01,7.3,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,西濱快速道路(取代大安溪出海口),丙,2016/7/6 上午 06:11:00,2016/7/6, 33 ,2016,7,6,1108,120.6105972,24.4014167,,1,25.5,26.8,8.3,447,,7.9,99.6,1.2,5.1,16.2,7000,0.08,3.5,,,,,,,,,,,,,,,,,,,
大安溪流域,大安溪,臺中市,西濱快速道路(取代大安溪出海口),丙,2016/9/6 上午 07:47:00,2016/9/6, 33 ,2016,9,6,1108,120.6105972,24.4014167,,2.3,25.1,26.9,8,517,,6.9,87.3,2,7.9,51,26000,0.06,6,0.186,,1.26,,0.001,0.003,0.002,0.0004,0.0003,0.004,0.018,0.061,0.001,,,,,,
大安溪流域,大安溪,臺中市,西濱快速道路(取代大安溪出海口),丙,2016/12/6 上午 09:00:00,2016/12/6, 33 ,2016,12,6,1108,120.6105972,24.4014167,,2.3,20.7,18.6,8.3,684,,9.6,102.4,1.3,6,84.5,15000,0.06,7.8,0.124,,1.22,,0.001,0.005,0.002,0.0003,0.0003,0.004,0.055,0.104,0.001,,,,,,
大甲溪流域,大甲溪,台中市,松鶴橋(原為長青橋),甲,2014/11/3 上午 10:01:00,2014/11/3, 33 ,2014,11,3,1109,120.974694,24.17489,,1,24.9,21.8,8.6,235,,9.2,113.8,1,4,1.4,490,0.02,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,臺中市,松鶴橋(原為長青橋),甲,2015/8/3 上午 10:08:00,2015/8/3, 33 ,2015,8,3,1109,120.974694,24.17489,,1,30.5,25.8,8.5,171,,9.1,121.3,1,4.3,1.2,20,0.05,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,龍安橋,乙,2014/11/3 上午 11:12:00,2014/11/3, 33 ,2014,11,3,1110,120.837918,24.171936,,1,25.6,23.5,8.7,259,,9.1,113.2,1,4,1.8,15,0.01,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,臺中市,龍安橋,乙,2015/8/3 上午 11:19:00,2015/8/3, 33 ,2015,8,3,1110,120.837918,24.171936,,1,30.1,26.8,8.6,254,,8.2,108.8,1,4,1.8,70,0.03,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,東勢大橋(原名東豐大橋),乙,2014/11/3 下午 01:36:00,2014/11/3, 33 ,2014,11,3,1111,120.820032,24.260846,,1,24.7,23.6,8.8,247,,8.8,108.2,1,4,1.5,10,0.05,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,臺中市,東勢大橋(原名東豐大橋),乙,2015/8/3 下午 01:30:00,2015/8/3, 33 ,2015,8,3,1111,120.820032,24.260846,,1,29.5,27.1,8.7,237,,8.6,112.8,1,4,5.6,2000,0.05,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,長庚橋(取代石岡壩),乙,2014/11/3 下午 02:39:00,2014/11/3, 33 ,2014,11,3,1112,120.7798148,24.28375,,1,24.4,23.8,8.9,247,,9.1,112,1,4,2.6,110,0.02,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,臺中市,長庚橋(取代石岡壩),乙,2015/8/3 下午 02:42:00,2015/8/3, 33 ,2015,8,3,1112,120.7798148,24.28375,,1,29.8,27.6,8.7,245,,8.3,109.4,1,4,8.1,220,0.02,,,,,,,,,,,,,,,,,,,,
大甲溪流域,大甲溪,台中市,朴子口,丙,2014/11/3 上午 09:00:00,2014/11/3, 33 ,2014,11,3,1113,120.7658657,24.2772917,,1,23,20.9,8.4,249,,9,108.9,1,4,5.2,5700,0.02,,,,,,,,,,,,,,,,,,,,
